Exchange Rate,Euro Exchange Rates Table
Updated at ,Mar 28, 2020 23:25 UTC


Country,EuroVsOtherCurrency,OtherCurrencyVsEuro

Argentine Peso,71.726625,0.013942,
Australian Dollar,1.809664,0.552589,
Bahraini Dinar,0.419265,2.385127,
Botswana Pula,12.611589,0.079292,
Brazilian Real,5.688704,0.175787,
Bruneian Dollar,1.591804,0.628218,
Bulgarian Lev,1.955830,0.511292,
Canadian Dollar,1.560723,0.640729,
Chilean Peso,930.824859,0.001074,
Chinese Yuan Renminbi,7.911694,0.126395,
Colombian Peso,4471.375123,0.000224,
Croatian Kuna,7.611762,0.131376,
Czech Koruna,27.391730,0.036507,
Danish Krone,7.470567,0.133859,
Hong Kong Dollar,8.645187,0.115671,
Hungarian Forint,356.848461,0.002802,
Icelandic Krona,154.378385,0.006478,
Indian Rupee,83.609373,0.011960,
Indonesian Rupiah,18101.629793,0.000055,
Iranian Rial,46861.145822,0.000021,
Israeli Shekel,3.978456,0.251354,
Japanese Yen,120.299291,0.008313,
Kazakhstani Tenge,496.689025,0.002013,
South Korean Won,1351.634376,0.000740,
Kuwaiti Dinar,0.350021,2.856968,
Libyan Dinar,1.573920,0.635356,
Malaysian Ringgit,4.825170,0.207247,
Mauritian Rupee,44.435518,0.022505,
Mexican Peso,26.048525,0.038390,
Nepalese Rupee,134.402067,0.007440,
New Zealand Dollar,1.846760,0.541489,
Norwegian Krone,11.697289,0.085490,
Omani Rial,0.428743,2.332400,
Pakistani Rupee,187.657171,0.005329,
Philippine Peso,57.011142,0.017540,
Polish Zloty,4.541451,0.220194,
Qatari Riyal,4.058841,0.246376,
Romanian New Leu,4.842008,0.206526,
Russian Ruble,87.979483,0.011366,
Saudi Arabian Riyal,4.181499,0.239149,
Singapore Dollar,1.591804,0.628218,
South African Rand,19.629139,0.050945,
Sri Lankan Rupee,209.944510,0.004763,
Swedish Krona,11.026128,0.090694,
Swiss Franc,1.060642,0.942825,
Taiwan New Dollar,33.707213,0.029667,
Thai Baht,36.310844,0.027540,
Trinidadian Dollar,7.570594,0.132090,
Turkish Lira,7.197686,0.138934,
Emirati Dirham,4.095081,0.244195,
British Pound,0.895311,1.116930,
US Dollar,1.115066,0.896808,
